Obs,STU_ID,STRAT_ID,F1MATHSE,F1TXMBIR,F1TXM1IR,F2PS0601,F3TZCMTHGPA,F1A07B,F1A07E,F1S16A,F1S16B,F1S16C,F1S16D,F1S16E,F1S16F,F1S16G,F1S16H,F1S16I,F1S17A,F1S17B,F1S17C,F1S17D,F1S17E,F1S17F,F1S17G,F1S17H,F1S17I,F1S17J,F1S40N,F2B17A,F2B17B,F1SES1,F1RACE,F1SEX,F1MOTHED,F1FATHED,outcome,F2F1WT,F3F1PNLPSWT,Factor1,Factor2
1,101104,101,-0.215,66.01,70.14,1,4,6,6,1,1,3,1,1,3,1,3,3,1,1,1,3,3,1,3,3,1,1,3,3,3,-0.86,7,2,2,2,0,713.181,893.553,0.06888,-0.07561
2,101105,101,0.238,32.56,41.21,0,.,6,6,3,2,4,0,1,0,0,0,0,1,0,3,2,0,0,0,0,0,4,3,3,2,-0.81,3,2,2,2,1,227.088,366.428,-0.15422,-0.02958
3,101109,101,.,65.74,.,1,3.75,.,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,2,-0.16,7,1,2,2,0,0,0,-0.22516,-0.16943
4,101112,101,.,55.72,60.69,1,2,.,6,1,1,3,1,1,3,1,3,1,1,1,1,3,3,3,3,3,2,1,3,2,2,-0.19,3,1,6,4,0,34.875,117.486,0.08829,-0.06079
5,101114,101,.,25.4,35.27,,4,6,6,4,1,1,1,3,3,1,1,3,4,1,3,1,1,1,1,1,1,1,3,,,-0.81,3,2,3,4,0,0,326.091,-0.11381,0.06659
6,101115,101,0.773,63.6,46.28,2,3,6,6,3,1,3,1,3,3,1,2,1,3,2,3,3,1,1,1,1,3,3,3,2,2,-0.17,2,1,2,2,1,35.516,48.413,-0.04568,0.08169
7,101116,101,-0.504,69.46,72.25,1,.,6,6,1,1,3,1,1,4,1,3,1,1,1,1,3,3,1,3,3,1,1,3,2,2,0.98,2,1,7,3,1,33.794,24.121,0.08503,-0.07792
8,101121,101,1.811,53.9,56.62,1,.,6,6,1,1,3,1,1,3,1,4,1,1,1,3,3,3,1,3,1,1,1,3,2,2,1.17,2,2,6,7,0,32.647,32.971,0.05342,-0.04155
9,101122,101,0.761,36.16,49.61,2,4,6,6,4,1,3,1,3,1,1,1,1,4,3,3,3,3,1,1,1,1,1,2,2,1,-0.64,5,1,3,2,0,171.983,195.485,-0.06307,0.12293
10,101126,101,-0.013,66.61,63.85,1,3.5,6,6,1,1,3,1,1,4,1,4,1,1,1,1,3,3,1,3,3,1,1,3,2,3,-0.65,2,2,1,1,0,29.63,24.656,0.09527,-0.08117
11,101127,101,-0.013,47.47,62.33,1,3,6,6,1,1,4,1,1,3,1,3,1,1,1,1,3,3,1,3,1,1,1,3,3,3,-0.13,2,2,3,6,1,35.935,38.503,0.05807,-0.06386
12,101129,101,-2.039,71.75,70.61,1,.,6,6,1,1,3,1,1,4,1,3,1,1,1,3,3,3,1,3,3,1,1,3,2,2,0.26,7,1,4,2,1,727.69,828.378,0.08303,-0.05237
13,101131,101,.,55.34,56.82,0,3,6,6,3,1,3,3,1,3,1,1,1,1,3,3,3,3,3,1,1,1,1,3,3,2,0.48,7,1,3,4,1,727.69,534.573,0.00006,0.07737
14,101201,101,-1.296,52.64,46.28,0,.,6,6,1,1,4,1,1,3,1,3,1,1,1,3,3,3,1,1,1,1,1,2,2,2,0.01,7,1,4,2,1,245.958,259.64,0.03175,-0.02996
15,101210,101,1.533,66.25,76.06,1,.,6,6,1,1,3,1,1,4,1,3,1,1,1,1,3,3,2,2,4,1,1,3,3,2,0.37,7,1,4,3,1,273.682,202.49,0.09346,-0.07654
16,101211,101,-0.259,51.66,59.17,1,2,6,6,1,1,3,1,1,3,0,3,3,1,1,1,3,3,1,3,3,1,1,3,2,2,0.19,7,2,2,4,1,220.499,200.766,0.06633,-0.08701
17,101222,101,.,23.13,29.24,2,.,6,6,1,1,3,1,3,3,1,3,1,1,1,3,3,3,1,1,1,1,1,3,3,2,-0.11,3,1,2,3,0,462.612,834.948,0.01709,-0.02067
18,101227,101,.,30.35,.,2,3.75,.,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,3,-0.59,7,1,2,4,1,0,0,-0.22516,-0.16943
19,102106,102,-0.499,22.19,31.39,0,.,6,6,1,1,3,1,1,3,1,1,3,1,1,3,3,3,1,1,1,1,3,3,2,,-0.25,5,2,6,3,1,37.042,42.993,-0.0016,-0.02346
20,102109,102,.,20.04,25.08,,.,6,6,3,1,4,3,1,4,3,1,3,2,2,2,2,1,1,1,1,2,1,3,,,-0.64,3,2,3,1,1,225.76,461.315,-0.03273,0.07803
21,102111,102,.,28.06,37.34,3,.,6,6,2,1,1,2,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,3,1,1,-1.45,5,2,1,2,1,37.025,49.316,-0.12356,0.00917
22,102120,102,.,20.18,.,1,.,.,6,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2,1,1,1,1,3,2,1,0.54,3,2,4,5,0,286.82,497.174,-0.05505,0.01524
23,102121,102,.,18.43,24.66,2,2,6,6,2,1,2,2,1,1,1,1,2,1,2,2,2,1,1,1,2,2,3,3,1,2,-0.02,3,1,2,3,1,253.034,242.772,-0.09418,0.00774
24,102164,102,.,.,20.96,,.,6,6,2,2,2,1,2,2,1,2,1,1,2,2,2,2,1,1,1,1,1,3,,,0.26,3,2,7,4,1,361.503,559.723,-0.06005,-0.00483
